charts-created,charts-created-total,charts-deleted,charts-deleted-total,code,comments-created,comments-created-total,dataset_page_url,downloads,downloads-total,embeds,embeds-total,error,fetched_url,filters-created,filters-created-total,filters-deleted,filters-deleted-total,govstat-metrics-using,govstat-metrics-using-total,govstat-total-computes,govstat-total-computes-total,id,maps-created,maps-created-total,maps-deleted,maps-deleted-total,message,visits,visits-total
1,1,,,,,,https://data.austintexas.gov/d/7m38-5fag,54,54,,0,,https://data.austintexas.gov/api/views/7m38-5fag/metrics.json?start=1451606400000&end=1475539199999,,,,,2,2,654,704,7m38-5fag,,,,,,38,38
,,,,,,,https://data.austintexas.gov/d/82dq-nkpk,96,96,115,117,,https://data.austintexas.gov/api/views/82dq-nkpk/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,82dq-nkpk,,,,,,204,206
3,3,,,,,,https://data.austintexas.gov/d/fr6v-2nu3,58,59,,0,,https://data.austintexas.gov/api/views/fr6v-2nu3/metrics.json?start=1451606400000&end=1475539199999,,,,,3,3,551,576,fr6v-2nu3,,,,,,38,38
1,1,,,,,,https://data.austintexas.gov/d/jttf-iwhx,18,19,,0,,https://data.austintexas.gov/api/views/jttf-iwhx/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,jttf-iwhx,,,,,,12,13
,,,,,,,https://data.austintexas.gov/d/5zpr-dehc,151,151,,0,,https://data.austintexas.gov/api/views/5zpr-dehc/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,5zpr-dehc,,,,,,568,570
,,,,,,,https://data.austintexas.gov/d/n5kp-f8k4,31,32,,0,,https://data.austintexas.gov/api/views/n5kp-f8k4/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,n5kp-f8k4,,,,,,190,191
,,,,not_found,,,https://data.austintexas.gov/d/w4x7-gfja,,,,,True,https://data.austintexas.gov/api/views/w4x7-gfja/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,w4x7-gfja,,,,,Cannot find view with id w4x7-gfja,,
,,,,not_found,,,https://data.austintexas.gov/d/7358-krk7,,,,,True,https://data.austintexas.gov/api/views/7358-krk7/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,7358-krk7,,,,,Cannot find view with id 7358-krk7,,
,,,,not_found,,,https://data.austintexas.gov/d/daek-f7x4,,,,,True,https://data.austintexas.gov/api/views/daek-f7x4/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,daek-f7x4,,,,,Cannot find view with id daek-f7x4,,
,,,,not_found,,,https://data.austintexas.gov/d/avj9-39zb,,,,,True,https://data.austintexas.gov/api/views/avj9-39zb/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,avj9-39zb,,,,,Cannot find view with id avj9-39zb,,
,,,,not_found,,,https://data.austintexas.gov/d/jir8-be2g,,,,,True,https://data.austintexas.gov/api/views/jir8-be2g/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,jir8-be2g,,,,,Cannot find view with id jir8-be2g,,
,,,,not_found,,,https://data.austintexas.gov/d/uhvc-ynxd,,,,,True,https://data.austintexas.gov/api/views/uhvc-ynxd/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,uhvc-ynxd,,,,,Cannot find view with id uhvc-ynxd,,
,,,,not_found,,,https://data.austintexas.gov/d/bc5r-88dy,,,,,True,https://data.austintexas.gov/api/views/bc5r-88dy/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,bc5r-88dy,,,,,Cannot find view with id bc5r-88dy,,
,,,,not_found,,,https://data.austintexas.gov/d/5nzk-szvg,,,,,True,https://data.austintexas.gov/api/views/5nzk-szvg/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,5nzk-szvg,,,,,Cannot find view with id 5nzk-szvg,,
,,,,not_found,,,https://data.austintexas.gov/d/ezdt-euam,,,,,True,https://data.austintexas.gov/api/views/ezdt-euam/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,ezdt-euam,,,,,Cannot find view with id ezdt-euam,,
,,,,not_found,,,https://data.austintexas.gov/d/qs9r-eh8x,,,,,True,https://data.austintexas.gov/api/views/qs9r-eh8x/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,qs9r-eh8x,,,,,Cannot find view with id qs9r-eh8x,,
,,,,not_found,,,https://data.austintexas.gov/d/m5q4-3y3d,,,,,True,https://data.austintexas.gov/api/views/m5q4-3y3d/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,m5q4-3y3d,,,,,Cannot find view with id m5q4-3y3d,,
,,,,not_found,,,https://data.austintexas.gov/d/4kje-y9af,,,,,True,https://data.austintexas.gov/api/views/4kje-y9af/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,4kje-y9af,,,,,Cannot find view with id 4kje-y9af,,
,,,,not_found,,,https://data.austintexas.gov/d/p7kc-wkbc,,,,,True,https://data.austintexas.gov/api/views/p7kc-wkbc/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,p7kc-wkbc,,,,,Cannot find view with id p7kc-wkbc,,
,,,,not_found,,,https://data.austintexas.gov/d/tqgd-mf4x,,,,,True,https://data.austintexas.gov/api/views/tqgd-mf4x/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,tqgd-mf4x,,,,,Cannot find view with id tqgd-mf4x,,
,,,,not_found,,,https://data.austintexas.gov/d/ywgb-2ig8,,,,,True,https://data.austintexas.gov/api/views/ywgb-2ig8/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,ywgb-2ig8,,,,,Cannot find view with id ywgb-2ig8,,
,,,,not_found,,,https://data.austintexas.gov/d/qyst-3472,,,,,True,https://data.austintexas.gov/api/views/qyst-3472/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,qyst-3472,,,,,Cannot find view with id qyst-3472,,
,,,,not_found,,,https://data.austintexas.gov/d/3zr8-huug,,,,,True,https://data.austintexas.gov/api/views/3zr8-huug/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,3zr8-huug,,,,,Cannot find view with id 3zr8-huug,,
,,,,not_found,,,https://data.austintexas.gov/d/karz-jr5v,,,,,True,https://data.austintexas.gov/api/views/karz-jr5v/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,karz-jr5v,,,,,Cannot find view with id karz-jr5v,,
,,,,not_found,,,https://data.austintexas.gov/d/ez4t-k8n4,,,,,True,https://data.austintexas.gov/api/views/ez4t-k8n4/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,ez4t-k8n4,,,,,Cannot find view with id ez4t-k8n4,,
,,,,not_found,,,https://data.austintexas.gov/d/36qt-hi3h,,,,,True,https://data.austintexas.gov/api/views/36qt-hi3h/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,36qt-hi3h,,,,,Cannot find view with id 36qt-hi3h,,
,,,,not_found,,,https://data.austintexas.gov/d/fhx8-fyu2,,,,,True,https://data.austintexas.gov/api/views/fhx8-fyu2/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,fhx8-fyu2,,,,,Cannot find view with id fhx8-fyu2,,
,,,,not_found,,,https://data.austintexas.gov/d/yisx-jwus,,,,,True,https://data.austintexas.gov/api/views/yisx-jwus/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,yisx-jwus,,,,,Cannot find view with id yisx-jwus,,
,,,,not_found,,,https://data.austintexas.gov/d/y5qk-ycha,,,,,True,https://data.austintexas.gov/api/views/y5qk-ycha/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,y5qk-ycha,,,,,Cannot find view with id y5qk-ycha,,
,,,,not_found,,,https://data.austintexas.gov/d/uf4q-4zh3,,,,,True,https://data.austintexas.gov/api/views/uf4q-4zh3/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,uf4q-4zh3,,,,,Cannot find view with id uf4q-4zh3,,
,,,,not_found,,,https://data.austintexas.gov/d/put4-j4ni,,,,,True,https://data.austintexas.gov/api/views/put4-j4ni/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,put4-j4ni,,,,,Cannot find view with id put4-j4ni,,
,,,,not_found,,,https://data.austintexas.gov/d/mkfw-xvtp,,,,,True,https://data.austintexas.gov/api/views/mkfw-xvtp/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,mkfw-xvtp,,,,,Cannot find view with id mkfw-xvtp,,
,,,,not_found,,,https://data.austintexas.gov/d/kzja-82u7,,,,,True,https://data.austintexas.gov/api/views/kzja-82u7/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,kzja-82u7,,,,,Cannot find view with id kzja-82u7,,
,,,,not_found,,,https://data.austintexas.gov/d/jady-amz8,,,,,True,https://data.austintexas.gov/api/views/jady-amz8/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,jady-amz8,,,,,Cannot find view with id jady-amz8,,
,,,,not_found,,,https://data.austintexas.gov/d/555q-48w2,,,,,True,https://data.austintexas.gov/api/views/555q-48w2/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,555q-48w2,,,,,Cannot find view with id 555q-48w2,,
,,,,not_found,,,https://data.austintexas.gov/d/vimt-emci,,,,,True,https://data.austintexas.gov/api/views/vimt-emci/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,vimt-emci,,,,,Cannot find view with id vimt-emci,,
,,,,not_found,,,https://data.austintexas.gov/d/nywn-y4pr,,,,,True,https://data.austintexas.gov/api/views/nywn-y4pr/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,nywn-y4pr,,,,,Cannot find view with id nywn-y4pr,,
,,,,not_found,,,https://data.austintexas.gov/d/d4m6-5bq8,,,,,True,https://data.austintexas.gov/api/views/d4m6-5bq8/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,d4m6-5bq8,,,,,Cannot find view with id d4m6-5bq8,,
,,,,not_found,,,https://data.austintexas.gov/d/qjby-4sji,,,,,True,https://data.austintexas.gov/api/views/qjby-4sji/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,qjby-4sji,,,,,Cannot find view with id qjby-4sji,,
,,,,not_found,,,https://data.austintexas.gov/d/342j-aqe3,,,,,True,https://data.austintexas.gov/api/views/342j-aqe3/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,342j-aqe3,,,,,Cannot find view with id 342j-aqe3,,
,,,,not_found,,,https://data.austintexas.gov/d/ajmb-qjqw,,,,,True,https://data.austintexas.gov/api/views/ajmb-qjqw/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,ajmb-qjqw,,,,,Cannot find view with id ajmb-qjqw,,
,,,,not_found,,,https://data.austintexas.gov/d/e68g-thne,,,,,True,https://data.austintexas.gov/api/views/e68g-thne/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,e68g-thne,,,,,Cannot find view with id e68g-thne,,
,,,,not_found,,,https://data.austintexas.gov/d/p4g8-g35g,,,,,True,https://data.austintexas.gov/api/views/p4g8-g35g/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,p4g8-g35g,,,,,Cannot find view with id p4g8-g35g,,
,,,,not_found,,,https://data.austintexas.gov/d/qz79-qws3,,,,,True,https://data.austintexas.gov/api/views/qz79-qws3/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,qz79-qws3,,,,,Cannot find view with id qz79-qws3,,
,,,,not_found,,,https://data.austintexas.gov/d/wj3f-puun,,,,,True,https://data.austintexas.gov/api/views/wj3f-puun/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,wj3f-puun,,,,,Cannot find view with id wj3f-puun,,
,,,,not_found,,,https://data.austintexas.gov/d/7tg6-n9nk,,,,,True,https://data.austintexas.gov/api/views/7tg6-n9nk/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,7tg6-n9nk,,,,,Cannot find view with id 7tg6-n9nk,,
,,,,not_found,,,https://data.austintexas.gov/d/axjn-4unb,,,,,True,https://data.austintexas.gov/api/views/axjn-4unb/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,axjn-4unb,,,,,Cannot find view with id axjn-4unb,,
,,,,not_found,,,https://data.austintexas.gov/d/q85w-4dng,,,,,True,https://data.austintexas.gov/api/views/q85w-4dng/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,q85w-4dng,,,,,Cannot find view with id q85w-4dng,,
,,,,not_found,,,https://data.austintexas.gov/d/94wu-dzfr,,,,,True,https://data.austintexas.gov/api/views/94wu-dzfr/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,94wu-dzfr,,,,,Cannot find view with id 94wu-dzfr,,
,,,,not_found,,,https://data.austintexas.gov/d/xgi3-cehu,,,,,True,https://data.austintexas.gov/api/views/xgi3-cehu/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,xgi3-cehu,,,,,Cannot find view with id xgi3-cehu,,
,,,,not_found,,,https://data.austintexas.gov/d/6qbh-9cvw,,,,,True,https://data.austintexas.gov/api/views/6qbh-9cvw/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,6qbh-9cvw,,,,,Cannot find view with id 6qbh-9cvw,,
,,,,not_found,,,https://data.austintexas.gov/d/3kiv-qagc,,,,,True,https://data.austintexas.gov/api/views/3kiv-qagc/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,3kiv-qagc,,,,,Cannot find view with id 3kiv-qagc,,
,,,,not_found,,,https://data.austintexas.gov/d/bw8j-s2g8,,,,,True,https://data.austintexas.gov/api/views/bw8j-s2g8/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,bw8j-s2g8,,,,,Cannot find view with id bw8j-s2g8,,
,,,,not_found,,,https://data.austintexas.gov/d/kvyp-srzj,,,,,True,https://data.austintexas.gov/api/views/kvyp-srzj/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,kvyp-srzj,,,,,Cannot find view with id kvyp-srzj,,
,,,,not_found,,,https://data.austintexas.gov/d/4bdc-sg8v,,,,,True,https://data.austintexas.gov/api/views/4bdc-sg8v/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,4bdc-sg8v,,,,,Cannot find view with id 4bdc-sg8v,,
,,,,not_found,,,https://data.austintexas.gov/d/c59n-j857,,,,,True,https://data.austintexas.gov/api/views/c59n-j857/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,c59n-j857,,,,,Cannot find view with id c59n-j857,,
,,,,not_found,,,https://data.austintexas.gov/d/q8kp-me7z,,,,,True,https://data.austintexas.gov/api/views/q8kp-me7z/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,q8kp-me7z,,,,,Cannot find view with id q8kp-me7z,,
,,,,not_found,,,https://data.austintexas.gov/d/weuz-uypp,,,,,True,https://data.austintexas.gov/api/views/weuz-uypp/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,weuz-uypp,,,,,Cannot find view with id weuz-uypp,,
,,,,not_found,,,https://data.austintexas.gov/d/p6sy-2wpr,,,,,True,https://data.austintexas.gov/api/views/p6sy-2wpr/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,p6sy-2wpr,,,,,Cannot find view with id p6sy-2wpr,,
,,,,not_found,,,https://data.austintexas.gov/d/pgsu-xa4f,,,,,True,https://data.austintexas.gov/api/views/pgsu-xa4f/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,pgsu-xa4f,,,,,Cannot find view with id pgsu-xa4f,,
,,,,not_found,,,https://data.austintexas.gov/d/hkns-jcbd,,,,,True,https://data.austintexas.gov/api/views/hkns-jcbd/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,hkns-jcbd,,,,,Cannot find view with id hkns-jcbd,,
,,,,not_found,,,https://data.austintexas.gov/d/xpqv-jv4t,,,,,True,https://data.austintexas.gov/api/views/xpqv-jv4t/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,xpqv-jv4t,,,,,Cannot find view with id xpqv-jv4t,,
,,,,not_found,,,https://data.austintexas.gov/d/p9hw-4p7f,,,,,True,https://data.austintexas.gov/api/views/p9hw-4p7f/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,p9hw-4p7f,,,,,Cannot find view with id p9hw-4p7f,,
,,,,not_found,,,https://data.austintexas.gov/d/jrvj-r5qx,,,,,True,https://data.austintexas.gov/api/views/jrvj-r5qx/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,jrvj-r5qx,,,,,Cannot find view with id jrvj-r5qx,,
,,,,not_found,,,https://data.austintexas.gov/d/faw3-drf5,,,,,True,https://data.austintexas.gov/api/views/faw3-drf5/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,faw3-drf5,,,,,Cannot find view with id faw3-drf5,,
,,,,not_found,,,https://data.austintexas.gov/d/jzpw-7bpd,,,,,True,https://data.austintexas.gov/api/views/jzpw-7bpd/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,jzpw-7bpd,,,,,Cannot find view with id jzpw-7bpd,,
,,,,not_found,,,https://data.austintexas.gov/d/53pa-m7sm,,,,,True,https://data.austintexas.gov/api/views/53pa-m7sm/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,53pa-m7sm,,,,,Cannot find view with id 53pa-m7sm,,
,,,,not_found,,,https://data.austintexas.gov/d/vfba-b57j,,,,,True,https://data.austintexas.gov/api/views/vfba-b57j/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,vfba-b57j,,,,,Cannot find view with id vfba-b57j,,
,,,,not_found,,,https://data.austintexas.gov/d/8kwn-yzyi,,,,,True,https://data.austintexas.gov/api/views/8kwn-yzyi/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,8kwn-yzyi,,,,,Cannot find view with id 8kwn-yzyi,,
,,,,not_found,,,https://data.austintexas.gov/d/5tfy-wau8,,,,,True,https://data.austintexas.gov/api/views/5tfy-wau8/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,5tfy-wau8,,,,,Cannot find view with id 5tfy-wau8,,
,,,,not_found,,,https://data.austintexas.gov/d/gd9b-j2sk,,,,,True,https://data.austintexas.gov/api/views/gd9b-j2sk/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,gd9b-j2sk,,,,,Cannot find view with id gd9b-j2sk,,
,,,,not_found,,,https://data.austintexas.gov/d/jghs-fiqn,,,,,True,https://data.austintexas.gov/api/views/jghs-fiqn/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,jghs-fiqn,,,,,Cannot find view with id jghs-fiqn,,
,,,,not_found,,,https://data.austintexas.gov/d/r7rg-xryu,,,,,True,https://data.austintexas.gov/api/views/r7rg-xryu/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,r7rg-xryu,,,,,Cannot find view with id r7rg-xryu,,
,,,,not_found,,,https://data.austintexas.gov/d/qsh8-tby8,,,,,True,https://data.austintexas.gov/api/views/qsh8-tby8/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,qsh8-tby8,,,,,Cannot find view with id qsh8-tby8,,
,,,,not_found,,,https://data.austintexas.gov/d/xf8u-zfz8,,,,,True,https://data.austintexas.gov/api/views/xf8u-zfz8/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,xf8u-zfz8,,,,,Cannot find view with id xf8u-zfz8,,
,,,,not_found,,,https://data.austintexas.gov/d/cvjb-eurw,,,,,True,https://data.austintexas.gov/api/views/cvjb-eurw/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,cvjb-eurw,,,,,Cannot find view with id cvjb-eurw,,
,,,,not_found,,,https://data.austintexas.gov/d/ek6d-qxkv,,,,,True,https://data.austintexas.gov/api/views/ek6d-qxkv/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,ek6d-qxkv,,,,,Cannot find view with id ek6d-qxkv,,
,,,,not_found,,,https://data.austintexas.gov/d/xdkg-6bx2,,,,,True,https://data.austintexas.gov/api/views/xdkg-6bx2/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,xdkg-6bx2,,,,,Cannot find view with id xdkg-6bx2,,
,,,,not_found,,,https://data.austintexas.gov/d/yqzs-yaft,,,,,True,https://data.austintexas.gov/api/views/yqzs-yaft/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,yqzs-yaft,,,,,Cannot find view with id yqzs-yaft,,
,,,,not_found,,,https://data.austintexas.gov/d/pmc3-6ynv,,,,,True,https://data.austintexas.gov/api/views/pmc3-6ynv/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,pmc3-6ynv,,,,,Cannot find view with id pmc3-6ynv,,
,,,,not_found,,,https://data.austintexas.gov/d/88kx-65ev,,,,,True,https://data.austintexas.gov/api/views/88kx-65ev/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,88kx-65ev,,,,,Cannot find view with id 88kx-65ev,,
,,,,not_found,,,https://data.austintexas.gov/d/x7n3-dc7h,,,,,True,https://data.austintexas.gov/api/views/x7n3-dc7h/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,x7n3-dc7h,,,,,Cannot find view with id x7n3-dc7h,,
